S.no,Instagram_name,Name,Subscribers,Audience_country,Authentic_engagement,Engagement_average,Category_1,Category_2,Engagement_Rate,Subscribers_Scaled,Authentic_Engagement_Scaled,Category_Weight,Influencer_Score
511,kit.connor,Kit Connor,4500000.0,United States,734800.0,1200000.0,Cinema & Actors/actresses,Humor & Fun & Happiness,0.26666666666666666,0.00477326968973747,0.05785826771653543,0.8,0.19967030111689502
23,kourtneykardash,Kourtney Kardashian Barker,196400000.0,United States,1200000.0,1700000.0,Lifestyle,0,0.008655804480651732,0.35707729025151463,0.09448818897637795,0.7,0.19948314666299066
327,jy_piece,유정연,5500000.0,Brazil,1400000.0,1700000.0,0,0,0.3090909090909091,0.006609142647328805,0.11023622047244094,0.5,0.1976663505250505
714,dk_is_dokyeom,도겸,3500000.0,Iran,825400.0,994200.0,Lifestyle,0,0.28405714285714284,0.002937396732146136,0.06499212598425197,0.7,0.19750250135935138
115,lucas_xx444,LUCAS,11500000.0,Indonesia,2400000.0,3000000.0,0,0,0.2608695652173913,0.017624380392876816,0.1889763779527559,0.5,0.19743041579537074
24,khaby00,Khaby Lame,79300000.0,India,2800000.0,3900000.0,Sports with a ball,0,0.04918032786885246,0.1420965669175693,0.2204724409448819,0.9,0.19639558941178817
554,srinidhi_shetty,Srinidhi Shetty 🌸,4400000.0,India,818600.0,1100000.0,Beauty,Cinema & Actors/actresses,0.25,0.004589682393978337,0.06445669291338582,0.8,0.1942682433008707
35,iamcardib,Cardi B,140400000.0,United States,893800.0,1300000.0,Fashion,0,0.009259259259259259,0.2542684046263999,0.07037795275590551,1.0,0.19405981564280478
631,adinross,0,3600000.0,United States,607600.0,1200000.0,0,0,0.3333333333333333,0.003120984027905269,0.047842519685039366,0.5,0.1938381324787128
685,ho5hi_kwon,HOSHI,3600000.0,Indonesia,765200.0,995200.0,Lifestyle,0,0.27644444444444444,0.003120984027905269,0.060251968503937006,0.7,0.19356446668693678
756,ivan_buhaje,spreen,3100000.0,Argentina,825800.0,1000000.0,0,0,0.3225806451612903,0.0022030475491096016,0.06502362204724409,0.5,0.1926978967386978
149,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),11200000.0,India,2000000.0,2400000.0,Lifestyle,0,0.21428571428571427,0.017073618505599415,0.15748031496062992,0.7,0.19233243425809152
50,noahschnapp,Noah Schnapp,27500000.0,Brazil,2800000.0,3700000.0,Cinema & Actors/actresses,0,0.13454545454545455,0.04699834771433817,0.2204724409448819,0.8,0.19201217432145967
158,natgeo,National Geographic,238300000.0,United States,78800.0,100300.0,Nature & landscapes,Science,0.0004208980276961813,0.43400036717459156,0.006204724409448819,0.6,0.1916094142453457
190,onyourm__ark,Mark,9300000.0,Indonesia,1700000.0,2100000.0,Lifestyle,0,0.22580645161290322,0.013585459886175875,0.13385826771653542,0.7,0.19116987215432113
46,eunwo.o_c,차은우,30200000.0,Indonesia,3200000.0,3900000.0,Lifestyle,0,0.1291390728476821,0.05195520469983477,0.25196850393700787,0.7,0.18763589133642483
63,sadiesink_,Sadie Sink,24600000.0,Brazil,2200000.0,3100000.0,Modeling,Lifestyle,0.12601626016260162,0.041674316137323295,0.1732283464566929,0.9,0.18755446819757624
29,milliebobbybrown,Millie Bobby Brown,58400000.0,Brazil,3100000.0,4000000.0,Cinema & Actors/actresses,0,0.0684931506849315,0.10372682210391042,0.24409448818897636,0.8,0.18733420454294103
916,farhaddddddd,Farhad Majidi,3600000.0,Iran,475400.0,786500.0,Sports with a ball,0,0.21847222222222223,0.003120984027905269,0.037433070866141734,0.9,0.18581179827048885
223,nayeonyny,나연 (NAYEON),8300000.000000001,Brazil,1600000.0,1800000.0,Lifestyle,0,0.21686746987951805,0.011749586928584544,0.12598425196850394,0.7,0.18546871442408336
166,thenameisyash,Yash,11200000.0,India,1700000.0,2000000.0,Cinema & Actors/actresses,0,0.17857142857142858,0.017073618505599415,0.13385826771653542,0.8,0.18332231052355835
507,sound_of_coups,COUPS,4500000.0,Indonesia,986300.0,1300000.0,0,0,0.28888888888888886,0.00477326968973747,0.07766141732283464,0.5,0.18251981992704375
28,badbunnypr,0,42800000.0,United States,3600000.0,5600000.0,0,0,0.1308411214953271,0.0750872039654856,0.28346456692913385,0.5,0.1815555231736033
49,actorleeminho,이민호 leeminho,30700000.0,Indonesia,2600000.0,3400000.0,Cinema & Actors/actresses,0,0.11074918566775244,0.05287314117863044,0.2047244094488189,0.8,0.1811064985104539
